time_hours,meanAcc,siv,sip,pdop
0.0,8497.0,37.0,12.0,0.93
0.0833,7321.0,38.0,12.0,0.92
0.3336,4943.0,37.0,12.0,0.91
0.4172,4540.0,37.0,12.0,0.91
0.5006,4237.0,38.0,12.0,1.0
0.5839,3975.0,37.0,12.0,0.95
0.6675,3730.0,37.0,12.0,0.95
0.8342,3374.0,37.0,12.0,1.01
1.0844,3052.0,37.0,12.0,0.9
1.1678,2961.0,37.0,12.0,0.91
1.2511,2884.0,37.0,12.0,0.88
1.3347,2815.0,36.0,12.0,0.93
1.4181,2757.0,36.0,12.0,0.97
1.5014,2702.0,38.0,12.0,0.96
